"time","k","c"
10.6,2.81471041819287,1.07233086608365
10.7,2.82561873609574,1.07419574462762
10.8,2.83643336803689,1.07604106675168
10.9,2.84715501625139,1.07786706083839
11,2.85778438069403,1.07967395199401
11.1,2.86832215895554,1.08146196211054
11.2,2.87876904618257,1.08323130992613
11.3,2.8891257350013,1.08498221108402
11.4,2.89939291544471,1.08671487818989
11.5,2.90957127488316,1.0884295208679
11.6,2.91966149795834,1.09012634581521
11.7,2.9296642665204,1.09180555685526
11.8,2.93958025956815,1.09346735498969
11.9,2.94941015319222,1.09511193844901
12,2.95915462052117,1.09673950274204
12.1,2.96881433167025,1.09835024070415
12.2,2.97838995369296,1.09994434254443
12.3,2.98788215053513,1.10152199589159
12.4,2.99729158299155,1.10308338583895
12.5,3.00661890866493,1.10462869498825
12.6,3.01586478192729,1.10615810349253
12.7,3.02502985388355,1.10767178909794
12.8,3.0341147723373,1.10916992718469
12.9,3.04312018175868,1.11065269080698
13,3.05204672325431,1.11212025073206
13.1,3.06089503453911,1.11357277547844
13.2,3.06966574991012,1.1150104313532
13.3,3.07835950022206,1.11643338248852
13.4,3.08697691286469,1.11784179087734
13.5,3.09551861174191,1.11923581640831
13.6,3.10398521725243,1.12061561689994
13.7,3.11237734627211,1.12198134813402
13.8,3.1206956121378,1.12333316388829
13.9,3.12894062463267,1.1246712159685
14,3.13711298997296,1.12599565423966
14.1,3.14521331079617,1.12730662665678
14.2,3.1532421861505,1.12860427929478
14.3,3.16120021148568,1.12988875637799
14.4,3.16908797864495,1.13116020030884
14.5,3.17690607585834,1.13241875169611
14.6,3.184655087737,1.13366454938247
14.7,3.19233559526879,1.13489773047158
14.8,3.19994817581482,1.13611843035456
14.9,3.20749340310712,1.13732678273595
15,3.2149718472473,1.13852291965915
15.1,3.22238407470616,1.13970697153134
15.2,3.22973064832428,1.14087906714794
15.3,3.23701212731345,1.14203933371654
15.4,3.24422906725909,1.14318789688041
15.5,3.25138202012338,1.14432488074147
15.6,3.25847153424929,1.14545040788295
15.7,3.26549815436537,1.14656459939145
15.8,3.27246242159132,1.14766757487871
15.9,3.27936487344424,1.14875945250288
16,3.28620604384562,1.14984034898944
16.1,3.29298646312901,1.15091037965165
16.2,3.29970665804833,1.15196965841072
16.3,3.30636715178683,1.15301829781551
16.4,3.31296846396661,1.15405640906191
16.5,3.31951111065878,1.15508410201183
16.6,3.32599560439417,1.15610148521188
16.7,3.33242245417453,1.15710866591165
16.8,3.33879216548437,1.15810575008173
16.9,3.34510524030312,1.15909284243132
17,3.351362177118,1.16007004642557
17.1,3.35756347093713,1.1610374643026
17.2,3.36370961330327,1.16199519709022
17.3,3.36980109230788,1.16294334462231
17.4,3.37583839260563,1.16388200555497
17.5,3.38182199542929,1.16481127738233
17.6,3.38775237860507,1.16573125645211
17.7,3.39363001656822,1.1666420379809
17.8,3.39945538037907,1.16754371606917
17.9,3.40522893773936,1.16843638371601
18,3.41095115300892,1.16932013283362
18.1,3.41662248722265,1.17019505426158
18.2,3.42224339810781,1.1710612377808
18.3,3.42781434010158,1.17191877212731
18.4,3.43333576436889,1.17276774500575
18.5,3.43880811882057,1.1736082431027
18.6,3.44423184813167,1.17444035209969
18.7,3.44960739376008,1.17526415668609
18.8,3.45493519396534,1.17607974057168
18.9,3.46021568382773,1.17688718649914
19,3.46544929526751,1.17768657625616
19.1,3.47063645706437,1.17847799068753
19.2,3.47577759487713,1.17926150970687
19.3,3.48087313126354,1.18003721230827
19.4,3.48592348570034,1.18080517657771
19.5,3.49092907460339,1.18156547970426
19.6,3.49589031134807,1.18231819799114
19.7,3.50080760628976,1.18306340686657
19.8,3.50568136678444,1.18380118089444
19.9,3.51051199720954,1.18453159378484
20,3.51529989898479,1.1852547184044
20.1,3.52004547059327,1.18597062678643
20.2,3.52474910760257,1.18667939014095
20.3,3.52941120268603,1.18738107886453
20.4,3.53403214564414,1.18807576254997
20.5,3.53861232342596,1.18876350999582
20.6,3.54315212015073,1.1894443892158
20.7,3.54765191712948,1.19011846744797
20.8,3.55211209288678,1.19078581116385
20.9,3.55653302318256,1.19144648607735
21,3.56091508103397,1.19210055715355
21.1,3.56525863673738,1.19274808861739
21.2,3.56956405789034,1.19338914396213
21.3,3.57383170941374,1.19402378595781
21.4,3.57806195357387,1.19465207665943
21.5,3.58225515000468,1.19527407741512
21.6,3.58641165572998,1.19588984887411
21.7,3.59053182518578,1.19649945099463
21.8,3.59461601024254,1.19710294305162
21.9,3.59866456022763,1.19770038364437
22,3.60267782194769,1.19829183070404
22.1,3.6066561397111,1.19887734150103
22.2,3.61059985535041,1.19945697265226
22.3,3.61450930824492,1.20003078012834
22.4,3.61838483534311,1.2005988192606
22.5,3.62222677118527,1.20116114474806
22.6,3.62603544792606,1.20171781066423
22.7,3.62981119535705,1.20226887046386
22.8,3.6335543409294,1.20281437698954
22.9,3.63726520977643,1.20335438247823
23,3.64094412473628,1.2038889385677
23.1,3.64459140637456,1.20441809630281
23.2,3.64820737300699,1.20494190614174
23.3,3.6517923407221,1.20546041796214
23.4,3.65534662340386,1.20597368106711
23.5,3.65887053275437,1.2064817441912
23.6,3.66236437831658,1.20698465550618
23.7,3.66582846749692,1.20748246262686
23.8,3.66926310558804,1.2079752126167
23.9,3.67266859579145,1.2084629519934
24,3.67604523924024,1.20894572673442
24.1,3.67939333502178,1.20942358228233
24.2,3.68271318020036,1.20989656355016
24.3,3.68600506983993,1.21036471492662
24.4,3.68926929702674,1.21082808028126
24.5,3.69250615289205,1.21128670296954
24.6,3.69571592663481,1.21174062583782
24.7,3.69889890554428,1.21218989122827
24.8,3.70205537502279,1.21263454098372
24.9,3.70518561860832,1.21307461645239
25,3.70828991799723,1.21351015849259
25.1,3.71136855306685,1.21394120747735
25.2,3.71442180189821,1.21436780329891
25.3,3.71744994079863,1.21478998537321
25.4,3.72045324432437,1.21520779264429
25.5,3.72343198530334,1.21562126358858
25.6,3.72638643485763,1.21603043621919
25.7,3.72931686242623,1.21643534809003
25.8,3.73222353578765,1.21683603630002
25.9,3.7351067210825,1.21723253749701
26,3.73796668283619,1.21762488788189
26.1,3.74080368398149,1.21801312321241
26.2,3.74361798588122,1.21839727880705
26.3,3.74640984835082,1.21877738954885
26.4,3.74917952968101,1.21915348988907
26.5,3.75192728666042,1.2195256138509
26.6,3.75465337459819,1.21989379503301
26.7,3.75735804734665,1.22025806661314
26.8,3.76004155732391,1.22061846135151
26.9,3.76270415553654,1.22097501159431
27,3.76534609160219,1.22132774927699
27.1,3.76796761377226,1.22167670592762
27.2,3.77056896895456,1.22202191267006
27.3,3.77315040273599,1.2223634002272
27.4,3.77571215940518,1.22270119892409
27.5,3.77825448197525,1.22303533869094
27.6,3.78077761220645,1.22336584906622
27.7,3.78328179062894,1.22369275919957
27.8,3.78576725656547,1.22401609785471
27.9,3.78823424815414,1.22433589341233
28,3.7906830023712,1.22465217387281
28.1,3.79311375505382,1.22496496685906
28.2,3.79552674092287,1.22527429961914
28.3,3.79792219360578,1.22558019902892
28.4,3.80030034565941,1.22588269159471
28.5,3.80266142859286,1.22618180345573
28.6,3.80500567289047,1.22647756038664
28.7,3.80733330803465,1.22676998780001
28.8,3.80964456252894,1.22705911074861
28.9,3.81193966392092,1.22734495392787
29,3.8142188388253,1.22762754167806
29.1,3.81648231294696,1.22790689798662
29.2,3.81873031110404,1.22818304649029
29.3,3.8209630572511,1.22845601047732
29.4,3.82318077450226,1.22872581288949
29.5,3.82538368515448,1.22899247632425
29.6,3.82757201071078,1.22925602303664
29.7,3.82974597190357,1.22951647494133
29.8,3.831905788718,1.22977385361448
29.9,3.83405168041537,1.23002818029563
30,3.83618386555661,1.23027947588952
30.1,3.83830256202577,1.23052776096786
30.2,3.84040798705361,1.23077305577108
30.3,3.84250035724124,1.23101538021002
30.4,3.84457988858376,1.23125475386756
30.5,3.84664679649409,1.23149119600022
30.6,3.84870129582672,1.23172472553976
30.7,3.85074360090163,1.23195536109465
30.8,3.85277392552823,1.23218312095155
30.9,3.85479248302939,1.23240802307676
31,3.85679948626554,1.23263008511761
31.1,3.85879514765886,1.23284932440378
31.2,3.86077967921748,1.23306575794861
31.3,3.86275329255986,1.23327940245041
31.4,3.86471619893919,1.23349027429359
31.5,3.86666860926791,1.23369838954994
31.6,3.86861073414225,1.23390376397971
31.7,3.87054278386696,1.23410641303269
31.8,3.87246496848003,1.23430635184935
31.9,3.8743774977776,1.23450359526178
32,3.87628058133889,1.23469815779468
32.1,3.87817442855128,1.23489005366635
32.2,3.88005924863547,1.23507929678952
32.3,3.88193525067072,1.23526590077226
32.4,3.88380264362028,1.23544987891875
32.5,3.88566163635681,1.23563124423013
32.6,3.88751243768803,1.23581000940515
32.7,3.8893552563824,1.23598618684097
32.8,3.89119030119496,1.23615978863373
32.9,3.89301778089329,1.23633082657926
33,3.89483790428357,1.23649931217358
33.1,3.89665088023675,1.23666525661353
33.2,3.89845691771494,1.23682867079724
33.3,3.9002562257978,1.23698956532458
33.4,3.90204901370916,1.23714795049766
33.5,3.90383549084375,1.23730383632114
33.6,3.90561586679406,1.23745723250267
33.7,3.90739035137731,1.23760814845318
33.8,3.90915915466266,1.23775659328714
33.9,3.91092248699846,1.23790257582285
34,3.91268055903969,1.23804610458262
34.1,3.91443358177561,1.23818718779296
34.2,3.91618176655745,1.23832583338472
34.3,3.91792532512635,1.23846204899317
34.4,3.91966446964144,1.23859584195809
34.5,3.92139941270805,1.23872721932378
34.6,3.92313036740612,1.23885618783906
34.7,3.92485754731879,1.23898275395721
34.8,3.92658116656108,1.23910692383592
34.9,3.92830143980888,1.23922870333717
35,3.930018582328,1.23934809802703
35.1,3.93173281000342,1.23946511317554
35.2,3.9334443393688,1.23957975375643
35.3,3.93515338763607,1.23969202444693
35.4,3.9368601727253,1.2398019296274
35.5,3.93856491329467,1.23990947338106
35.6,3.94026782877074,1.24001465949359
35.7,3.94196913937879,1.24011749145276
35.8,3.9436690661735,1.24021797244798
35.9,3.9453678310697,1.24031610536987
36,3.94706565687342,1.24041189280969
36.1,3.9487627673131,1.24050533705888
36.2,3.95045938707103,1.24059644010843
36.3,3.95215574181498,1.24068520364832
36.4,3.95385205823005,1.24077162906689
36.5,3.95554856405081,1.24085571745011
36.6,3.9572454880935,1.24093746958095
36.7,3.95894306028864,1.24101688593858
36.8,3.96064151171375,1.24109396669768
